Matt Schaub,Texans,QB
Steve Slaton,Texans,RB
Andre Johnson,Texans,WR
Joel Dreesen,Texans,TE
Texans DEF,Texans,DEF
Niel Rackers,Texans,K
Peyton Manning,Colts,QB
Joseph Addai,Colts,RB
Reggie Wayne,Colts,WR
Dallas Clark,Colts,TE
Colts DEF,Colts,DEF
Adam Vinatieri,Colts,K
David Garrard,Jaguars,QB
Maurice JonesDrew,Jaguars,RB
Mike Simswalker,Jaguars,WR
Zach Miller,Jaguars,TE
Jaguars DEF,Jaguars,DEF
Josh Scobee,Jaguars,K
Vince Young,Titans,QB
Chris Johnson,Titans,RB
Kenny Britt,Titans,WR
Bo Scaife,Titans,TE
Titans DEF,Titans,DEF
Rob Bironas,Titans,K
Kyle Orton,Broncos,QB
Knowshon Moreno,Broncos,RB
Eddie Royal,Broncos,WR
Daniel Graham,Broncos,TE
Broncos DEF,Broncos,DEF
Matt Prater,Broncos,K
Matt Cassel,Chiefs,QB
Jamaal Charles,Chiefs,RB
Dwayne Bowe,Chiefs,WR
Leonard Pope,Chiefs,TE
Chiefs DEF,Chiefs,DEF
Ryan Succop,Chiefs,K
Jamarcus Russel,Raiders,QB
Darren Mcfadden,Raiders,RB
Darrius HeywardBey,Raiders,WR
Zach Miller,Raiders,TE
Raiders DEF,Raiders,DEF
Sebastian Janikowski,Raiders,K
Phillip Rivers,Chargers,QB
Darren Sproles,Chargers,RB
Vincent Jackson,Chargers,WR
Antonio Gates,Chargers,TE
Chargers DEF,Chargers,DEF
Nate Kaeding,Chargers,K
Tony Romo,Cowboys,QB
